countyFIPS,County Name,State,Population,Vaccinated,% with Bachelor's,Percent Democrat,Number of Cases,Case Percentage,Metro Status
1003,Baldwin County,Alabama,223234,0.438,0.106210988,0.2240903,37192,0.166605445,Metro
1015,Calhoun County,Alabama,113605,0.407,0.086878942,0.298452425,22205,0.195457946,Metro
1043,Cullman County,Alabama,83768,0.345,0.047050901,0.106998638,15383,0.183638143,Non-metro
1049,DeKalb County,Alabama,71513,0.294,0.052873708,0.145830495,12622,0.176499378,Non-metro
1051,Elmore County,Alabama,81209,0.38,0.088774157,0.252668779,15161,0.18669113,Metro
1055,Etowah County,Alabama,102268,0.362,0.076691813,0.242352497,19811,0.19371651,Metro
1069,Houston County,Alabama,105882,0.376,0.083687924,0.279752236,17345,0.163814435,Metro
1073,Jefferson County,Alabama,658573,0.505,0.126852782,0.557585132,114550,0.173936678,Metro
1077,Lauderdale County,Alabama,92729,0.41,0.089886586,0.26872505,14225,0.153404005,Metro
1081,Lee County,Alabama,164542,0.343,0.154510249,0.38992848,23195,0.140967048,Metro
1083,Limestone County,Alabama,98915,0.324,0.090896507,0.277688636,15298,0.15465804,Metro
1089,Madison County,Alabama,372909,0.529,0.162989261,0.448156002,52172,0.139905446,Metro
1095,Marshall County,Alabama,96774,0.396,0.069823845,0.149867608,18317,0.189276045,Non-metro
1097,Mobile County,Alabama,413210,0.427,0.082611274,0.433895307,72460,0.175358776,Metro
1101,Montgomery County,Alabama,226486,0.452,0.131817034,0.650894199,34067,0.150415478,Metro
1103,Morgan County,Alabama,119679,0.383,0.05753338,0.246342281,20754,0.173413882,Metro
1115,St. Clair County,Alabama,89512,0.346,0.053262467,0.174253505,15983,0.178557065,Metro
1117,Shelby County,Alabama,217702,0.318,0.155837248,0.289412788,37533,0.172405398,Metro
1121,Talladega County,Alabama,79978,0.324,0.054099265,0.368393012,13802,0.172572457,Non-metro
1125,Tuscaloosa County,Alabama,209355,0.384,0.133833607,0.418810717,35044,0.167390318,Metro
1127,Walker County,Alabama,63521,0.418,0.042687959,0.155085018,11162,0.175721415,Metro
4001,Apache County,Arizona,71887,0.723,0.038364893,0.662052696,13646,0.189825699,Non-metro
4003,Cochise County,Arizona,125922,0.538,0.107014088,0.392439601,15366,0.122027922,Metro
4005,Coconino County,Arizona,143476,0.678,0.156055231,0.60941292,22577,0.157357328,Metro
4013,Maricopa County,Arizona,4485414,0.492,0.116555698,0.502916923,724731,0.161575052,Metro
4015,Mohave County,Arizona,212181,0.36,0.054874669,0.237151998,32794,0.154556723,Metro
4017,Navajo County,Arizona,110924,0.614,0.073509887,0.451557461,20827,0.187759186,Non-metro
4019,Pima County,Arizona,1047279,0.589,0.140161272,0.585674095,140933,0.134570635,Metro
4021,Pinal County,Arizona,462789,0.456,0.068289585,0.405897199,72200,0.156010623,Metro
4025,Yavapai County,Arizona,235099,0.402,0.102723258,0.34618928,27688,0.117771662,Metro
4027,Yuma County,Arizona,213787,0.576,0.053667195,0.460629809,41281,0.193094061,Metro
5007,Benton County,Arkansas,279141,0.453,0.107528301,0.352333378,41807,0.149770188,Metro
5031,Craighead County,Arkansas,110332,0.385,0.106388196,0.309547921,21421,0.194150382,Metro
5045,Faulkner County,Arkansas,126007,0.432,0.12850618,0.337087528,19449,0.154348568,Metro
5051,Garland County,Arkansas,99386,0.403,0.0677819,0.31776737,15911,0.160092971,Metro
5069,Jefferson County,Arkansas,66824,0.368,0.059732035,0.595476588,12293,0.183960852,Metro
5085,Lonoke County,Arkansas,73309,0.423,0.05827889,0.218054921,11879,0.162040131,Metro
5119,Pulaski County,Arkansas,391911,0.504,0.143519487,0.599843489,58446,0.149130798,Metro
5125,Saline County,Arkansas,122437,0.436,0.091239726,0.281957197,18432,0.150542728,Metro
5131,Sebastian County,Arkansas,127827,0.433,0.073672946,0.307318625,22211,0.173758283,Metro
5143,Washington County,Arkansas,239187,0.475,0.124638406,0.464897206,44348,0.185411414,Metro
5145,White County,Arkansas,78753,0.4,0.083167777,0.193556743,13132,0.166749203,Non-metro
6001,Alameda County,California,1671329,0.705,0.195447913,0.80229625,117644,0.070389492,Metro
6007,Butte County,California,219186,0.467,0.099225022,0.494169068,20021,0.091342513,Metro
6013,Contra Costa County,California,1153526,0.706,0.155070527,0.716387661,97719,0.084713305,Metro
6017,El Dorado County,California,192843,0.557,0.114807477,0.444479843,15502,0.080386636,Metro
6019,Fresno County,California,999101,0.512,0.066254418,0.529112494,134025,0.134145597,Metro
6023,Humboldt County,California,135558,0.577,0.121308668,0.650432963,8725,0.064363593,Non-metro
6025,Imperial County,California,181215,0.687,0.046605066,0.61141084,32700,0.180448638,Metro
6029,Kern County,California,900202,0.435,0.055938293,0.436941807,122626,0.136220537,Metro
6031,Kings County,California,152940,0.38,0.037917593,0.426353231,30803,0.20140578,Metro
6033,Lake County,California,64386,0.519,0.041808074,0.518784722,6475,0.10056534,Non-metro
6037,Los Angeles County,California,10039107,0.61,0.111409884,0.710431686,1414701,0.140919008,Metro
6039,Madera County,California,157327,0.447,0.046682157,0.431257213,21981,0.13971537,Metro
6041,Marin County,California,258826,0.776,0.257505153,0.823409349,17245,0.066627773,Metro
6045,Mendocino County,California,86749,0.593,0.099119889,0.664159129,7189,0.082871272,Non-metro
